Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,Dropout
0,0,1,0,19,6,6,6,14.0,6,6,6,13.666666666666666,Graduate
0,0,1,0,19,6,0,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,20,6,8,6,13.428571428571429,6,10,5,12.4,Graduate
0,1,0,0,45,6,9,5,12.333333333333334,6,6,6,13.0,Graduate
1,1,1,0,50,5,10,5,11.857142857142858,5,17,5,11.5,Graduate
0,1,0,1,18,7,9,7,13.3,8,8,8,14.345,Graduate
0,0,1,0,22,5,5,0,0.0,5,5,0,0.0,Dropout
0,1,0,1,21,6,8,6,13.875,6,7,6,14.142857142857142,Graduate
1,0,0,0,18,6,9,5,11.4,6,14,2,13.5,Dropout
0,1,0,0,18,6,6,6,12.333333333333334,6,7,5,14.2,Graduate
0,1,0,1,18,8,8,7,13.214285714285714,8,8,7,13.214285714285714,Graduate
0,1,0,0,19,6,6,0,0.0,6,0,0,0.0,Dropout
0,1,0,1,21,6,7,6,10.571428571428571,6,8,5,11.0,Graduate
0,1,0,1,18,5,7,4,13.25,5,5,5,12.0,Graduate
0,1,0,0,20,6,6,5,13.2,6,7,0,0.0,Dropout
0,1,0,0,18,6,10,1,12.0,6,14,2,11.0,Enrolled
0,1,0,0,18,7,8,7,13.30625,8,8,8,14.545,Graduate
0,1,0,0,20,5,8,4,12.5,5,8,4,12.25,Graduate
0,1,0,0,18,7,7,6,11.666666666666666,7,8,6,13.5,Enrolled
0,1,0,1,21,0,0,0,0.0,0,0,0,0.0,Graduate
0,1,0,0,20,7,14,7,11.4375,8,9,8,11.425,Enrolled
0,1,0,0,18,8,12,7,12.857142857142858,8,12,7,12.857142857142858,Graduate
0,1,0,1,19,6,8,6,13.375,6,7,6,12.285714285714286,Graduate
0,1,0,0,19,7,8,6,13.296666666666669,8,9,7,14.114285714285714,Graduate
1,1,0,1,18,6,8,5,11.6,6,12,4,11.0,Enrolled
0,1,0,0,21,6,9,6,11.375,6,9,6,13.285714285714286,Graduate
0,1,0,0,18,5,9,5,12.666666666666666,5,7,4,13.0,Enrolled
0,1,0,0,20,5,6,5,12.0,5,6,5,12.333333333333334,Graduate
